,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
385.0,0.18954411506278945,3.5711977084229795e-07,1.784470448142402e-07,5.43421391422207e-07,2.501603136035658e-07,3.5899517777673665e-05,0.0004898389007790361,1.787911987843482e-08,0.0,0.0,0.0,0.0
386.0,0.19222552004366705,3.4752600384904173e-07,1.860402403641524e-07,4.175922767467003e-07,2.2113135692278437e-07,8.132557188374366e-05,0.005427593791489218,1.9756441401020752e-07,0.0,0.0,0.0,0.0
387.0,0.19343370666660026,3.6265994568357296e-07,2.1655141677452035e-07,4.062177071890709e-07,2.540186445738446e-07,0.0004425519992989882,0.031002286970318715,8.804649499570515e-07,0.0,0.0,0.0,0.0
388.0,0.19704013175575164,3.681310877099123e-07,2.530613959030577e-07,4.5498275847987494e-07,2.4240782077045565e-07,0.005411322617979161,0.09126583763320577,1.5606458235278184e-06,0.0,0.0,0.0,0.0
389.0,0.2047981771553372,3.7106771300573173e-07,2.0746606491384927e-07,4.6336923573915904e-07,2.4482886249938474e-07,0.03238539952559265,0.16333802408846368,4.63879988411237e-06,0.0,0.0,0.0,0.0
390.0,0.21225068978127679,3.9381343781178465e-07,2.7684074582958326e-07,4.86944083657387e-07,2.766088193107447e-07,0.09579864237418496,0.2058780850458358,9.120399167530527e-06,0.0,0.0,0.0,0.0
391.0,0.22180406624943033,4.050665762539712e-07,2.2386311073597552e-07,6.18912074635908e-07,2.450377195646607e-07,0.17187019187105215,0.2206460073586478,6.023636000891086e-06,0.0,0.0,0.0,0.0
392.0,0.23133454906080622,3.9777370359253034e-07,3.13080776444262e-07,7.846117753807587e-07,2.9790773736562563e-07,0.2211880069750431,0.23099566497089052,1.2843358972381512e-05,0.0,0.0,0.0,0.0
393.0,0.24035808641997805,4.1977385922334996e-07,2.330654673605393e-07,9.394242651391518e-07,2.769714986608482e-07,0.24207787827683377,0.24124020538692453,6.296369360598731e-06,0.0,0.0,0.0,0.0
394.0,0.24887702850855933,4.5793414720372845e-07,2.6640980196349694e-07,1.0626092206589834e-06,3.1470998444056136e-07,0.25401182582752063,0.2513417198951314,2.56368554293034e-06,0.0,0.0,0.0,0.0
395.0,0.25917528173309573,4.75003815251968e-07,2.4571554622550574e-07,1.1054258417697737e-06,3.488999553139189e-07,0.26480889193884705,0.26102761082081904,9.762432644698632e-06,0.0,0.0,0.0,0.0
396.0,0.26884760205710806,4.748918152086654e-07,2.835554318624344e-07,1.1102850662072523e-06,3.441662074678947e-07,0.27547220096285874,0.2710557930998543,1.4745435144632075e-05,0.0,0.0,0.0,0.0
397.0,0.279546794439437,5.021502583322645e-07,2.9152905691148716e-07,1.0990970834902388e-06,3.3626863583890144e-07,0.28679078857633655,0.2819518561885992,1.4379544665618558e-05,0.0,0.0,0.0,0.0
398.0,0.29158577356667675,5.494841238408115e-07,3.149673505773701e-07,1.1721032124340324e-06,3.429722409781605e-07,0.29807567674733243,0.29280554271079845,1.3908263278762925e-05,0.0,0.0,0.0,0.0
399.0,0.30409506972205214,5.116444191228989e-07,2.8780892488633866e-07,1.2416325703048595e-06,3.7191170737033545e-07,0.3092922914022445,0.30360450195158956,6.8614617441059244e-06,0.0,0.0,0.0,0.0
